Year,Team,Pick,Round,Round Pick,Player
2015.0,Team(Pinkiest Pinkster),1.0,1.0,1.0,Joique Bell
2015.0,Team(Chalupa Batman),2.0,1.0,2.0,Jamaal Charles
2015.0,Team(Ben's  Basketballs),3.0,1.0,3.0,Adrian Peterson
2015.0,Team(Seattle Mist),4.0,1.0,4.0,DeMarco Murray
2015.0,Team(Babanusa Battle Turtles),5.0,1.0,5.0,Eddie Lacy
2015.0,Team(The Huskies),6.0,1.0,6.0,Antonio Brown
2015.0,Team(Rigger _),7.0,1.0,7.0,Aaron Rodgers
2015.0,Team(Team skittles),8.0,1.0,8.0,Marshawn Lynch
2015.0,Team(Trinidad Tribal Sharks),9.0,1.0,9.0,LeSean McCoy
2015.0,Team(L.A. Wheat Thins),10.0,1.0,10.0,Arian Foster
2015.0,Team(Tittsburgh Feelers),11.0,1.0,11.0,C.J. Anderson
2015.0,Team(Team Zobel),12.0,1.0,12.0,Matt Forte
2015.0,Team(Pinkiest Pinkster),13.0,2.0,1.0,Le'Veon Bell
2015.0,Team(Chalupa Batman),14.0,2.0,2.0,Calvin Johnson
2015.0,Team(Ben's  Basketballs),15.0,2.0,3.0,Julio Jones
2015.0,Team(Seattle Mist),16.0,2.0,4.0,Russell Wilson
2015.0,Team(Babanusa Battle Turtles),17.0,2.0,5.0,Jordy Nelson
2015.0,Team(The Huskies),18.0,2.0,6.0,Jeremy Hill
2015.0,Team(Rigger _),19.0,2.0,7.0,Mark Ingram
2015.0,Team(Team skittles),20.0,2.0,8.0,Dez Bryant
2015.0,Team(Trinidad Tribal Sharks),21.0,2.0,9.0,Mike Evans
2015.0,Team(L.A. Wheat Thins),22.0,2.0,10.0,Rob Gronkowski
2015.0,Team(Tittsburgh Feelers),23.0,2.0,11.0,Andrew Luck
2015.0,Team(Team Zobel),24.0,2.0,12.0,Demaryius Thomas
2015.0,Team(Pinkiest Pinkster),25.0,3.0,1.0,Odell Beckham Jr.
2015.0,Team(Chalupa Batman),26.0,3.0,2.0,Jimmy Graham
2015.0,Team(Ben's  Basketballs),27.0,3.0,3.0,A.J. Green
2015.0,Team(Seattle Mist),28.0,3.0,4.0,T.Y. Hilton
2015.0,Team(Babanusa Battle Turtles),29.0,3.0,5.0,Ben Roethlisberger
2015.0,Team(The Huskies),30.0,3.0,6.0,Alshon Jeffery
2015.0,Team(Rigger _),31.0,3.0,7.0,Emmanuel Sanders
2015.0,Team(Team skittles),32.0,3.0,8.0,Melvin Gordon
2015.0,Team(Trinidad Tribal Sharks),33.0,3.0,9.0,Alfred Morris
2015.0,Team(L.A. Wheat Thins),34.0,3.0,10.0,Randall Cobb
2015.0,Team(Tittsburgh Feelers),35.0,3.0,11.0,DeAndre Hopkins
2015.0,Team(Team Zobel),36.0,3.0,12.0,Lamar Miller
2015.0,Team(Pinkiest Pinkster),37.0,4.0,1.0,Justin Forsett
2015.0,Team(Chalupa Batman),38.0,4.0,2.0,DeSean Jackson
2015.0,Team(Ben's  Basketballs),39.0,4.0,3.0,Todd Gurley
2015.0,Team(Seattle Mist),40.0,4.0,4.0,Latavius Murray
2015.0,Team(Babanusa Battle Turtles),41.0,4.0,5.0,Frank Gore
2015.0,Team(The Huskies),42.0,4.0,6.0,LeGarrette Blount
2015.0,Team(Rigger _),43.0,4.0,7.0,Carlos Hyde
2015.0,Team(Team skittles),44.0,4.0,8.0,Jordan Matthews
