Team,Year,Week,Matchup,Score
Team(Pinkiest Pinkster),2015.0,1.0,0.0,77.0
Team(Babanusa Battle Turtles),2015.0,1.0,0.0,93.0
Team(Tittsburgh Feelers),2015.0,1.0,1.0,100.0
Team(Rigger _),2015.0,1.0,1.0,87.0
Team(L.A. Wheat Thins),2015.0,1.0,2.0,87.0
Team(Ben's  Basketballs),2015.0,1.0,2.0,86.0
Team(Seattle Mist),2015.0,1.0,3.0,82.0
Team(Team Zobel),2015.0,1.0,3.0,78.0
Team(Team skittles),2015.0,1.0,4.0,109.0
Team(Chalupa Batman),2015.0,1.0,4.0,55.0
Team(The Huskies),2015.0,1.0,5.0,87.0
Team(Trinidad Tribal Sharks),2015.0,1.0,5.0,84.0
Team(Babanusa Battle Turtles),2015.0,2.0,0.0,82.0
Team(Rigger _),2015.0,2.0,0.0,73.0
Team(Ben's  Basketballs),2015.0,2.0,1.0,80.0
Team(Pinkiest Pinkster),2015.0,2.0,1.0,103.0
Team(L.A. Wheat Thins),2015.0,2.0,2.0,82.0
Team(Tittsburgh Feelers),2015.0,2.0,2.0,59.0
Team(Team Zobel),2015.0,2.0,3.0,80.0
Team(Chalupa Batman),2015.0,2.0,3.0,65.0
Team(Trinidad Tribal Sharks),2015.0,2.0,4.0,82.0
Team(Seattle Mist),2015.0,2.0,4.0,92.0
Team(The Huskies),2015.0,2.0,5.0,57.0
Team(Team skittles),2015.0,2.0,5.0,90.0
Team(Ben's  Basketballs),2015.0,3.0,0.0,151.0
Team(Babanusa Battle Turtles),2015.0,3.0,0.0,64.0
Team(Rigger _),2015.0,3.0,1.0,104.0
Team(L.A. Wheat Thins),2015.0,3.0,1.0,108.0
Team(Pinkiest Pinkster),2015.0,3.0,2.0,174.0
Team(Tittsburgh Feelers),2015.0,3.0,2.0,74.0
Team(Trinidad Tribal Sharks),2015.0,3.0,3.0,86.0
Team(Team Zobel),2015.0,3.0,3.0,44.0
Team(Chalupa Batman),2015.0,3.0,4.0,59.0
Team(The Huskies),2015.0,3.0,4.0,74.0
Team(Seattle Mist),2015.0,3.0,5.0,151.0
Team(Team skittles),2015.0,3.0,5.0,70.0
Team(Babanusa Battle Turtles),2015.0,4.0,0.0,60.0
Team(L.A. Wheat Thins),2015.0,4.0,0.0,44.0
Team(Tittsburgh Feelers),2015.0,4.0,1.0,66.0
Team(Ben's  Basketballs),2015.0,4.0,1.0,87.0
Team(Pinkiest Pinkster),2015.0,4.0,2.0,103.0
Team(Rigger _),2015.0,4.0,2.0,94.0
Team(Team Zobel),2015.0,4.0,3.0,78.0
Team(The Huskies),2015.0,4.0,3.0,95.0
Team(Team skittles),2015.0,4.0,4.0,69.0
Team(Trinidad Tribal Sharks),2015.0,4.0,4.0,90.0
Team(Seattle Mist),2015.0,4.0,5.0,99.0
Team(Chalupa Batman),2015.0,4.0,5.0,75.0
Team(Tittsburgh Feelers),2015.0,5.0,0.0,136.0
Team(Babanusa Battle Turtles),2015.0,5.0,0.0,64.0
Team(L.A. Wheat Thins),2015.0,5.0,1.0,50.0
Team(Pinkiest Pinkster),2015.0,5.0,1.0,77.0
Team(Ben's  Basketballs),2015.0,5.0,2.0,77.0
Team(Rigger _),2015.0,5.0,2.0,97.0
Team(Team skittles),2015.0,5.0,3.0,96.0
Team(Team Zobel),2015.0,5.0,3.0,58.0
Team(The Huskies),2015.0,5.0,4.0,76.0
Team(Seattle Mist),2015.0,5.0,4.0,89.0
Team(Trinidad Tribal Sharks),2015.0,5.0,5.0,107.0
Team(Chalupa Batman),2015.0,5.0,5.0,65.0
Team(Pinkiest Pinkster),2015.0,6.0,0.0,88.0
Team(Chalupa Batman),2015.0,6.0,0.0,99.0
Team(Ben's  Basketballs),2015.0,6.0,1.0,80.0
Team(Team skittles),2015.0,6.0,1.0,94.0
Team(Babanusa Battle Turtles),2015.0,6.0,2.0,60.0
Team(Trinidad Tribal Sharks),2015.0,6.0,2.0,106.0
Team(Rigger _),2015.0,6.0,3.0,81.0
Team(The Huskies),2015.0,6.0,3.0,97.0
Team(L.A. Wheat Thins),2015.0,6.0,4.0,96.0
Team(Seattle Mist),2015.0,6.0,4.0,110.0
Team(Tittsburgh Feelers),2015.0,6.0,5.0,116.0
Team(Team Zobel),2015.0,6.0,5.0,78.0
Team(Seattle Mist),2015.0,7.0,0.0,87.0
Team(Ben's  Basketballs),2015.0,7.0,0.0,136.0
Team(Team skittles),2015.0,7.0,1.0,111.0
Team(L.A. Wheat Thins),2015.0,7.0,1.0,92.0
Team(Team Zobel),2015.0,7.0,2.0,52.0
Team(Pinkiest Pinkster),2015.0,7.0,2.0,94.0
Team(Chalupa Batman),2015.0,7.0,3.0,70.0
Team(Babanusa Battle Turtles),2015.0,7.0,3.0,80.0
Team(The Huskies),2015.0,7.0,4.0,85.0
Team(Tittsburgh Feelers),2015.0,7.0,4.0,77.0
Team(Trinidad Tribal Sharks),2015.0,7.0,5.0,97.0
Team(Rigger _),2015.0,7.0,5.0,89.0
Team(Ben's  Basketballs),2015.0,8.0,0.0,124.0
Team(Team Zobel),2015.0,8.0,0.0,103.0
Team(Tittsburgh Feelers),2015.0,8.0,1.0,72.0
Team(Team skittles),2015.0,8.0,1.0,129.0
Team(Pinkiest Pinkster),2015.0,8.0,2.0,85.0
Team(Trinidad Tribal Sharks),2015.0,8.0,2.0,68.0
Team(Babanusa Battle Turtles),2015.0,8.0,3.0,97.0
Team(Chalupa Batman),2015.0,8.0,3.0,46.0
Team(Rigger _),2015.0,8.0,4.0,88.0
Team(Seattle Mist),2015.0,8.0,4.0,88.0
Team(L.A. Wheat Thins),2015.0,8.0,5.0,89.0
